votes,name,seen,star,date,text
260,____anybody,看过,推荐,2019-09-11 04:49:11,没错，在影片的前中后，我的菊花分别为剧情紧了三次。
116,瓦力,看过,推荐,2019-12-08 15:27:16,“霍金夫妇”的天空大冒险...本片可与《搏击太空》、《登月第一人》组成“人类升空进击三部曲”，但这无疑是当中最惊心动魄的，什么防护都没有凭借一腔热血乘热气球玩命上升至当下民航机的飞行高度，最后连吊篮都扔了，热气球变降落伞...那个时代科学研究都是拿拼命换来的...本片也可与《云中行走》《徒手攀岩》组成“恐高症千万别看三部曲”，女主万米高空爬热气球那段实在太吓人。结尾Sigrid唱的Home to you瞬间爱了。
214,Maggie_in_LA,看过,还行,2019-10-08 15:41:00,这个片子虽然有的情节惊心动魄，画面也很美，但全程其实挺可笑的。看多了那种NASA在太空中的历险及太空科幻电影，如今看两个乘坐气球的人在天上往下扔土，在一个气球上上蹿下跳演杂耍是真的挺可笑的。特别是小雀斑在片中的角色简直是猪一样的队友，整个存在的作用就是烘托菲丽希缇·琼斯角色的伟大。但可笑的是，貌似真实事件里，根本都没有女性，是俩男的升天。他们的名字是 James Glaisher 和 Henry Coxwell 。 虽然我也很开心编导给予女性机会，把男变女，塑造了一个身材弱小但体力如牛般强大的女性角色，并且故意让男主在关键时刻整个晕过去，让女主抢走所有光彩，但还是觉得有点太刻意了。
185,花袭人,看过,还行,2019-12-12 18:58:00,在电影院看观感蛮好的，高空景致壮美，热气球独有的危险和挑战也挺抓人的，影片的长度跟热气球在空中停留的时间一致，是很好的一个呈现纬度。从前的科学家太猛太raw了。演得也不错。但是查了一下发现当年是两个男人上去的，既然是有所本，那最好照着历史事件来，不像虚构没关系。有点不是滋味。男性曾经抹杀女性对科学的贡献，现在反过来抹杀男性的贡献并不是正确的补偿方式。扣一星。
111,HarperDie,看过,推荐,2019-09-20 13:39:13,我相信埃迪·雷德梅恩在接下这个本子的时候，就笃定了要与导演汤姆·哈伯一起成就第一主角菲丽希缇·琼斯。整个故事的推进，很像是琼斯的《荒野猎人》探索，高度付出换来高效收益。高空热气球上的戏份棚拍，非常考验导演对光线和取景方式的判断，总体来讲处理得比较出色，雨雾霜气、蝶雪细流变化频繁。当然，地面对话的部分还是略多，如果比例调整一下，戏剧冲突效果会更佳。
94,同志亦凡人中文站,看过,还行,2019-11-06 14:54:48,“万物理论”CP再次合体，讲的却是个热气球版的“地心引力”故事。感觉19世纪的人都太猛了，动辄以科学的名义玩儿命，毫无准备的就冲上三万英尺高空！Sigrid的片尾曲好听，蝴蝶风暴很美，恐高症（如我）以后还是不要看了…
73,伪装的甘党,看过,推荐,2019-09-09 11:14:32,剧本传统，完成得很工整，一定要在大银幕观看，可能剪辑想玩下花花结果插叙展现得一般。一开场会有Amazon很有钱的错觉，刚升空还有点绿幕感，随着海拔升高剧情逐渐紧张，斑菲的演技得以更好发挥，我喜欢高空氛围衬托下两人在热气球上的大段对手戏和Felicity单人解决危机的一段，太惊心动魄了——所以最大看点还是演技。
46,飞侠式拼搏,看过,还行,2019-12-29 10:13:05,色彩画面都还不错，视觉方面肯定是给人印象深刻的。好几处场景都让人极其惊心动魄，特别是徒手攀气球那段一边吓得恐高，一边又为女主捏了一把汗。另外蝴蝶和星星那段给人有浪漫的感觉，还以为影片会借此把男女主的感情戏牵上，但最后却并没有，这点好评。除此之外，片子就没什么惊喜了。故事的简单，加上多次的闪回更让片子显得有点无聊乏味。整体而言，中规中矩。
34,小A,看过,还行,2019-09-10 22:56:55,Steven Price再次给一部高空灾难片配乐。高空热气球景色很壮观，高空灾难场景有还不错的奇观效果，其他都差强人意。剧本逻辑各种问题，整体看下来只能勉强理顺头绪。意识形态上有点对科学家怀有敌意，尽管是真实历史人物，但这位科学家在故事里recklessly各种实际问题都不考虑，一直在制造麻烦。另外片中人物英语姓Wren，而片中人物拿的有她名字的法语版明信片写的Rennes。这两个词在两种语言里有什么对应关系吗？
355,誒嘿嘿教父,看过,力荐,2019-09-19 14:28:34,人类挑战风暴需要多大的勇气，人类挑战偏见需要多大的勇气，人类挑战自己的最愧疚与悔恨的事需要多大的勇气
