id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4573006871927205,JuDf185lX,【#台湾中天新闻或将停播#】据台媒，台湾中天电视旗下中天新闻台的执照换发申请18日被台当局“通讯传播委员会”否决。报道称，根据台当局相关规定，广播电视机构每六年须重新申请换发执照。中天新闻台执照将在今年12月11日到期，此次被驳回换照申请，等同届时将停播。对此，中天表示，“通讯传播委员会”已达成高层交办的“政治任务”，“所有人都知道蔡英文当局关掉中天新闻是叫中天闭嘴；苏贞昌要关中天，因为中天紧咬他180万被窃却不报案”。这是一场“政治裁定、政治判决”。#台当局否决中天新闻台换照申请# （参考消息）,,"https://wx4.sinaimg.cn/large/005YCmkAly1gkujer3nlcj60k00b9gmm02.jpg,https://wx3.sinaimg.cn/large/005YCmkAly1gkujer1l03j60go0cigmu02.jpg",,,2020-11-19,微博 weibo.com,133,38,4,"台湾中天新闻或将停播,台当局否决中天新闻台换照申请",
4572990556342909,JuCOHqC4Z,广西灵山县成立了《武则天她妈在钦州》历史文化研究工作组，关于武则天他妈的事儿，岛叔只知道武则天之母杨氏之墓顺陵在陕西咸阳，还真不知道她妈在广西的历史故事，有渊博的岛友出来给科普下不？#武则天她妈在钦州研究工作组# ,,https://wx2.sinaimg.cn/large/005YCmkAly1gkuhspeq6aj60f00m876m02.jpg,,,2020-11-19,微博 weibo.com,2360,483,151,武则天她妈在钦州研究工作组,
4572983668769086,JuCDAANeS,【#美国多州将毒品合法化# 】近日，美国俄勒冈州和华盛顿州宣布，少量持有可卡因、海洛因等硬性毒品将被合法化。同时，亚利桑那州、蒙大拿州、南达科他州、新泽西州和密西西比州也先后宣布大麻合法化。至此，美国仅剩15个州仍坚持持有大麻为违法行为。支持者称，毒品合法化使“惩罚性”毒品政策向更“人道、健康”方向转变。（央视）,,https://wx2.sinaimg.cn/large/005YCmkAly1gkuh0z4xkaj60fa08m0t802.jpg,,,2020-11-19,微博 weibo.com,849,238,71,美国多州将毒品合法化,
4572964912366992,JuC9l9VLi,【德州中院通报“女子遭虐待致死”案：撤销原判，发回重新审理】@德州中院 11月19日中午通报了有关“被告人张吉林、刘兰英、张丙虐待罪案”的最新情况：德州中院经依法审理，认为本案未涉及国家秘密或个人隐私，原审不公开开庭审理，违反法律规定的诉讼程序，裁定撤销原判，发回禹城市人民法院重新审理。案件重新审理期间，德州中院将加强对禹城市人民法院的监督指导，确保严格依法公开公正审理。案件审理的有关情况将及时公布。#山东一女子因不孕遭婆家虐待致死#,,https://wx1.sinaimg.cn/large/005YCmkAly1gkueu1d3s5j60u01e2th902.jpg,,,2020-11-19,iPhone客户端,1423,180,74,山东一女子因不孕遭婆家虐待致死,德州中院
4572943600321948,JuBAY1lKI,【于欢减刑出狱】#辱母杀人案当事人于欢出狱#11月18日，“辱母案”当事人于欢减刑出狱，他曾因刺死辱母者被判无期徒刑，后改判有期徒刑5年。2016年4月14日，苏银霞于欢母子因无法偿还高利贷，被11名催债者限制人身自由，并遭受辱骂、抽耳光、鞋子捂嘴等凌辱，讨债者杜志浩当着于欢的面脱下裤子，用极端手段污辱苏银霞。绝望的于欢拿起水果刀捅伤4人。被刺中的杜志浩次日死亡。 2017年2月17日，聊城中院一审以故意伤害罪判处于欢无期徒刑。引发社会强烈关注，最高人民检察院派员赴山东阅卷审查。2017年6月23日，山东高院认定于欢属防卫过当，改判于欢有期徒刑5年。@济南时报,,https://wx3.sinaimg.cn/large/005YCmkAly1gkucfdqc6nj60es08dtee02.jpg,,,2020-11-19,微博 weibo.com,934,218,58,辱母杀人案当事人于欢出狱,济南时报
4572933110898763,JuBk33LOb,【#人民日报点名苏贞昌#：恶贯满盈难逃历史审判】#大陆拟定顽固台独分子清单#“别看今日闹得欢，小心日后拉清单”。对于兴风作浪的“台独”分子，算总账的日子怕是不远了。谁是祸害两岸关系的罪魁祸首，谁该列入清单？早有台媒指出，台行政机构负责人苏贞昌谋“独”劣迹斑斑。苏贞昌之“毒”已深入骨髓。他既属民进党初创成员，又被列入“民进党四大天王”，早在马英九执政时便狂言“台湾早已是主权独立的国家”，还在担任民进党主席时恢复设置“中国事务部”，暗示两岸是“国与国”关系。由从政经历观之，苏贞昌搞“台独”走火入魔，早已无可救药。桩桩件件，都难逃历史的审判。（人民日报海外版）苏贞昌恶贯满盈难逃历史审判(日月谈),,https://wx3.sinaimg.cn/large/005YCmkAly1gkuay1wg9mj60t50m140502.jpg,,,2020-11-19,微博 weibo.com,796,276,78,"人民日报点名苏贞昌,大陆拟定顽固台独分子清单",
4572925274888819,JuB7pkvNV,【云南今年至少已有8名厅级干部主动投案，多人任职司法系统】11月17日，云南省纪委监委消息：保山市中级人民法院党组书记、院长吴邦胜涉嫌严重违纪违法，已主动投案，目前正在接受纪律审查和监察调查。吴邦胜是云南省纪委监委今年以来，公开通报的第8名主动投案的厅级干部。这8人中，多人拥有司法系统工作背景，通报被查时担任地级市（州）中级人民法院或人民检察院“一把手”。（澎湃新闻）云南今年至少已有8名厅级干部主动投案，多人任职于司法系统,,"https://wx4.sinaimg.cn/large/005YCmkAly1gkuab3z9mgj60ku0g1tpx02.jpg,https://wx2.sinaimg.cn/large/005YCmkAly1gkuab3houmj608i058aa502.jpg",,,2020-11-19,微博 weibo.com,469,133,72,,
4572904140836967,JuAzk3vJt,【加拿大在WTO“告状”，要求中国停止食品新冠检测】据路透社11月17日报道，加拿大代表在世界贸易组织11月5-6日举行的会议上宣称，中国对进口食品进行核酸检测并拒绝结果呈阳性的食品，是“不合理的贸易限制”，敦促中国停止这种行为。自本土新冠肺炎疫情平息后，进口食品的外包装成了最常听到“核酸检测呈阳性”的地方。据不完全统计，仅11月15、16、17、18这四天，就有西安、福州、厦门以及一艘俄罗斯渔船共计至少四处地方在进口食品的外包装上，检出新冠病毒核酸阳性。#加拿大要求中国停止食品新冠病毒检测#（观察者网）,,https://wx1.sinaimg.cn/large/005YCmkAly1gku7urej76j60a5077mxl02.jpg,,,2020-11-19,iPhone客户端,1974,477,176,加拿大要求中国停止食品新冠病毒检测,
4572733196999671,Juw7BtmVV,【#拜登称要恢复美国全球领导地位#：“美国回来了”】拜登周二在特拉华州与国家安全情报专家进行视频会见。拜登表示，接手的是一个分裂的国家和混乱的世界，要重建美国与世界的联系，让美国重回世界顶端，并称自己已经与13位国家领导人进行了交谈。@时差视频  时差视频的微博视频 ,,,"http://f.video.weibocdn.com/002YVxvigx07I61Br3ji01041201a9Gd0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1605777855&ssig=seNoacmhUE&KID=unistore,video",,2020-11-18,iPhone客户端,569,228,74,拜登称要恢复美国全球领导地位,时差视频
4572718047435565,JuvJavckt,【蛋壳易碎：#长租公寓乱象#再发警示】2015-2019年，蛋壳运营的房间数量从2434间增长至43.83万间，覆盖所有一线城市和二线热点城市。但同时，蛋壳创立至今一直未盈利。截至今年一季度，公司资产负债率高达97.06%，远超行业警戒线；公司经营活动产生的现金流长期为负。也就是说，蛋壳公寓越扩规模，亏损反而越大，亏损额甚至达到营收的50%左右。按明斯基的3种融资类型划分，这已构成庞氏融资，须不断借新还旧或者出售资产，方能堵上债务窟窿。也意味着，一旦某个时点现金流入不足以覆盖流出，即存在资金崩盘风险。#洞见计划# 【解局】蛋壳易碎：长租公寓乱象再发警示,,,,,2020-11-18,微博 weibo.com,484,133,68,"长租公寓乱象,洞见计划",
